iter	Passed	Remaining
545	17571	14610
546	17603	14578
547	17635	14546
548	17670	14516
549	17706	14486
550	17740	14456
551	17774	14425
552	17806	14393
553	17837	14360
554	17871	14329
555	17906	14299
556	17943	14271
557	17977	14240
558	18009	14208
559	18042	14176
560	18074	14143
561	18107	14112
562	18140	14080
563	18172	14047
564	18204	14015
565	18236	13983
566	18269	13951
567	18299	13918
568	18330	13885
569	18364	13853
570	18395	13820
571	18427	13788
572	18459	13756
573	18490	13722
574	18522	13690
575	18554	13658
576	18586	13626
577	18619	13593
578	18650	13560
579	18680	13527
580	18713	13495
581	18746	13463
582	18776	13430
583	18807	13397
584	18838	13364
585	18870	13332
586	18903	13299
587	18933	13266
588	18965	13234
589	18998	13202
590	19030	13169
591	19063	13138
592	19095	13106
593	19129	13074
594	19161	13042
595	19194	13010
596	19226	12978
597	19258	12946
598	19290	12913
599	19321	12881
600	19353	12848
601	19385	12816
602	19417	12783
603	19449	12751
604	19480	12718
605	19511	12685
606	19543	12653
607	19578	12623
608	19611	12591
609	19645	12560
610	19676	12526
611	19709	12495
612	19741	12463
613	19772	12430
614	19805	12398
615	19837	12366
616	19870	12334
617	19903	12302
618	19934	12269
619	19966	12237
620	19998	12205
621	20029	12172
622	20061	12139
623	20092	12106
624	20124	12074
625	20156	12042
626	20187	12009
627	20219	11977
628	20252	11945
629	20284	11912
630	20316	11880
631	20346	11847
632	20379	11815
633	20412	11783
634	20442	11750
635	20476	11719
636	20508	11686
637	20540	11654
638	20573	11622
639	20603	11589
640	20635	11556
641	20667	11525
642	20699	11492
643	20730	11459
644	20763	11427
645	20794	11395
646	20826	11362
647	20857	11329
648	20890	11298
649	20921	11265
650	20952	11232
651	20984	11200
652	21016	11168
653	21047	11135
654	21080	11103
655	21112	11071
656	21144	11039
657	21179	11008
658	21212	10976
659	21245	10944
660	21278	10912
661	21308	10879
662	21339	10846
663	21370	10814
664	21403	10782
665	21435	10750
666	21468	10718
667	21499	10685
668	21532	10653
669	21563	10620
670	21596	10588
671	21629	10557
672	21660	10524
673	21693	10492
674	21725	10460
675	21757	10428
676	21789	10395
677	21821	10363
678	21853	10331
679	21885	10299
680	21918	10267
681	21950	10234
682	21983	10203
683	22013	10169
684	22043	10136
685	22076	10105
686	22110	10073
687	22141	10040
688	22173	10008
689	22205	9976
690	22238	9944
691	22269	9911
692	22302	9880
693	22334	9847
694	22366	9815
695	22397	9782
696	22430	9750
697	22461	9718
698	22493	9685
699	22525	9653
700	22558	9621
701	22590	9589
702	22624	9558
703	22657	9526
704	22689	9494
705	22720	9461
706	22751	9428
707	22786	9397
708	22819	9365
709	22850	9333
710	22882	9301
711	22914	9268
712	22947	9236
713	22979	9204
714	23009	9171
715	23041	9139
716	23074	9107
717	23106	9075
718	23137	9042
719	23170	9010
720	23202	8978
721	23235	8946
722	23267	8914
723	23299	8882
724	23332	8850
725	23364	8818
726	23397	8785
727	23427	8753
728	23460	8721
729	23492	8689
730	23523	8656
731	23555	8624
732	23587	8592
733	23619	8559
734	23651	8527
735	23683	8495
736	23714	8462
737	23746	8430
738	23778	8398
739	23809	8365
740	23843	8333
741	23875	8301
742	23908	8269
743	23938	8237
744	23972	8205
745	24004	8173
746	24034	8140
747	24065	8107
748	24098	8075
749	24131	8043
750	24162	8011
751	24195	7979
752	24227	7947
753	24258	7914
754	24291	7882
755	24324	7850
756	24354	7817
757	24391	7787
758	24422	7754
759	24453	7722
