iter	Passed	Remaining
505	34916	1345186
506	34982	1345002
507	35049	1344871
508	35115	1344686
509	35182	1344507
510	35250	1344430
511	35319	1344341
512	35384	1344114
513	35447	1343817
514	35514	1343683
515	35585	1343683
516	35651	1343533
517	35723	1343548
518	35795	1343623
519	35862	1343482
520	35932	1343432
521	36002	1343395
522	36070	1343294
523	36140	1343257
524	36210	1343224
525	36275	1343026
526	36349	1343154
527	36416	1342998
528	36479	1342705
529	36550	1342707
530	36619	1342646
531	36684	1342437
532	36749	1342205
533	36812	1341939
534	36875	1341636
535	36947	1341708
536	37012	1341496
537	37081	1341418
538	37157	1341598
539	37221	1341363
540	37290	1341293
541	37360	1341245
542	37428	1341142
543	37500	1341201
544	37569	1341117
545	37639	1341105
546	37707	1340999
547	37786	1341284
548	37861	1341425
549	37926	1341203
550	37988	1340914
551	38062	1340998
552	38133	1341011
553	38202	1340966
554	38274	1340974
555	38341	1340847
556	38407	1340692
557	38477	1340655
558	38551	1340744
559	38615	1340495
560	38678	1340246
561	38741	1339959
562	38806	1339762
563	38876	1339726
564	38937	1339396
565	39002	1339191
566	39082	1339492
567	39152	1339472
568	39225	1339530
569	39307	1339912
570	39389	1340274
571	39464	1340401
572	39534	1340391
573	39606	1340414
574	39685	1340663
575	39762	1340877
576	39834	1340897
577	39902	1340805
578	39974	1340843
579	40052	1341070
580	40126	1341178
581	40202	1341315
582	40274	1341343
583	40353	1341618
584	40428	1341742
585	40493	1341545
586	40569	1341697
587	40644	1341829
588	40721	1342016
589	40810	1342594
590	40888	1342832
591	40956	1342694
592	41015	1342320
593	41082	1342167
594	41152	1342127
595	41235	1342516
596	41320	1342963
597	41416	1343749
598	41494	1343969
599	41569	1344079
600	41638	1343996
601	41722	1344393
602	41787	1344200
603	41859	1344217
604	41928	1344135
605	41988	1343774
606	42061	1343828
607	42125	1343576
608	42194	1343499
609	42264	1343459
610	42334	1343415
611	42403	1343337
612	42473	1343300
613	42542	1343217
614	42614	1343230
615	42679	1343016
616	42751	1343043
617	42821	1342975
618	42892	1342972
619	42965	1343031
620	43033	1342913
621	43099	1342738
622	43170	1342731
623	43235	1342505
624	43308	1342552
625	43373	1342368
626	43443	1342303
627	43514	1342311
628	43579	1342097
629	43650	1342071
630	43713	1341829
631	43776	1341559
632	43835	1341177
633	43908	1341207
634	43972	1340993
635	44042	1340956
636	44103	1340630
637	44168	1340412
638	44232	1340193
639	44300	1340098
640	44364	1339867
641	44431	1339733
642	44500	1339657
643	44563	1339391
644	44635	1339408
645	44705	1339352
646	44771	1339190
647	44832	1338873
648	44901	1338800
